how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
35-44,Government and Public Administration,Lead Cataloger,51000,USD,United States,Missouri,Kansas City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Auction House,Cataloguer,20000,USD,USA,Virginia,Falls Church,1 year or less,1 year or less,Master's degree,Woman,White
35-44,Computing or Tech,Managing Director,210000,USD,United States,Arizona,Phoenix,8 - 10 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing or Tech,Principle Software Engineer,150000,USD,USA,Oregon,Portland,11 - 20 years,11 - 20 years,High School,Man,White
45-54,Retail,IT Manager,135000,USD,USA,Texas,Dallas,21 - 30 years,21 - 30 years,Master's degree,Man,White
45-54,Computing or Tech,Engineering Manager,168000,USD,United States,Oregon,Portland,21 - 30 years,21 - 30 years,Master's degree,Man,White
45-54,Health care,Audiology technician/newborn hearing screener,47000,CAD,Canada,NA,New Westminster,21 - 30 years,11 - 20 years,Some college,Woman,Asian or Asian American
35-44,Computing or Tech,senior ux designer,146000,USD,United States,Washington,Remote,21 - 30 years,5-7 years,Master's degree,Other or prefer not to answer,White
25-34,Nonprofits,Grants Manager,62000,USD,USA,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,Black or African American
45-54,Labor Union,Office Manager,98000,USD,US,California,Tustin but represent Orange County,21 - 30 years,21 - 30 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Education (Higher Education),Finance & Procurement Manager,107604,USD,USA,Oregon,Portland,31 - 40 years,21 - 30 years,College degree,Man,White
25-34,Health care,Registered nurse,87360,USD,USA,Georgia,Atlanta,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Account Manager,93500,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Fitness,Group Fitness Director,42500,USD,United States,Maryland,Rockville,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Government and Public Administration,Senior Policy Analyst,80000,CAD,Canada,NA,Vancouver,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Fitness,Group Fitness Director,42500,USD,United States,Maryland,Rockville,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Software engineer,140000,CAD,Canada,NA,Toronto,5-7 years,5-7 years,Master's degree,Man,White
45-54,Insurance,?Regulatory Compliance Manager,121000,USD,USA,Minnesota,Minneapolis,31 - 40 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing or Tech,Application Architect,147000,USD,United States,Utah,Salt Lake City,11 - 20 years,8 - 10 years,High School,Man,White
35-44,Computing or Tech,Staff Software Engineer,222000,USD,United States,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Other or prefer not to answer,"Middle Eastern or Northern African, White"
55-64,Health care,RN,90,USD,USA,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Nonprofits,Director of Education,67000,USD,United States,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Sales,Territory Sales Manager,85000,USD,United States,Illinois,"Illinois, Iowa, Missouri",11 - 20 years,8 - 10 years,College degree,Man,White
25-34,"Accounting, Banking & Finance",Economist,112000,AUD/NZD,Australia,NA,Brisbane,5-7 years,5-7 years,College degree,Woman,White
35-44,Art & Design,designer,80000,USD,USA,California,San Francisco,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Education (Higher Education),Costumer,40000,CAD,Canada,NA,Vancouver,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Insurance,Auditor,50800,USD,US,North Dakota,Fargo,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Education (Primary/Secondary),Substitute teacher,12600,USD,USA,Indiana,Evansville,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Computing or Tech,Staff software engineer,275000,USD,US,California,San Francisco,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing or Tech,Staff Software Engineer,147000,USD,USA,Massachusetts,Springfield,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Government and Public Administration,Attorney advisor,90000,USD,Usa,Mississippi,Hattiesburg,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Engineering or Manufacturing,Data Scientist,160000,USD,United States,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Non-binary,Another option not listed here or prefer not to answer
25-34,"Accounting, Banking & Finance",Marketing Director,120000,USD,USA,Kansas,Kansas City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,NA,People Operations Manager,155000,USD,USA,California,San Francisco,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Insurance,Program Manager,85000,USD,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Some college,Woman,White
35-44,Education (Primary/Secondary),Special Education Teacher,63500,USD,USA,Utah,Salem,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Law,Partner,1200000,USD,United States,Texas,Dallas,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,"government contractor, international development",Sr. Specialist,135000,USD,united states,Maryland,Montgomery County,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Policy Analyst,88500,USD,United States of America,California,Los Angeles,11 - 20 years,8 - 10 years,PhD,Woman,Asian or Asian American
35-44,Nonprofits,Development Director,165000,USD,USA,Washington,Seattle (but fully remote),11 - 20 years,5-7 years,PhD,Woman,White
35-44,"Accounting, Banking & Finance",Senior Client Consultation Associate,63000,USD,USA,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
45-54,Health care,Occupational Therapist,99840,USD,United States,Idaho,Idaho Falls,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education (Primary/Secondary),Audiologist,96608,USD,USA,Maryland,"Frederick, MD",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health care,Social worker,66560,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,"Accounting, Banking & Finance",Senior Risk Manager,195000,USD,United States of America,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Seior Writer,84000,USD,United States,New Jersey,New York,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Government and Public Administration,Case Officer,70000,CAD,Canada,NA,Ottawa,11 - 20 years,8 - 10 years,College degree,Man,White
35-44,Health care,Executive Assistant,56500,USD,United States,Wisconsin,Madison,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Executive Assistant,65000,CAD,Canada,NA,Toronto,21 - 30 years,11 - 20 years,High School,Woman,White
25-34,Art & Design,3D Artist,80000,USD,U.S.,Texas,Austin,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Art & Design,Product designer,165000,USD,United States,Washington,Vancouver,8 - 10 years,8 - 10 years,College degree,Woman,White
65 or over,Education (Primary/Secondary),Childcare Aide,25000,USD,USA,California,Marina,31 - 40 years,11 - 20 years,College degree,Woman,White
25-34,Utilities & Telecommunications,Data Entry and Records Specialist,29120,USD,USA,Wisconsin,Madison,5-7 years,1 year or less,Some college,Non-binary,White
35-44,"Accounting, Banking & Finance",VP of Accounting,220000,USD,United States,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,141000,USD,USA,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Admin Assistant,50000,AUD/NZD,Australia,NA,Perth,2 - 4 years,2 - 4 years,High School,Woman,White
25-34,Property or Construction,Operations Administrator and Executive Assistant,56000,USD,United States,Maryland,Baltimore,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Hospitality & Events,Baker,35360,USD,United States,Virginia,Charlottesville,8 - 10 years,8 - 10 years,College degree,Non-binary,White
35-44,Oil & Gas,Quote team Client service manager,66500,USD,United States,Louisiana,Geismar,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Health care,Formulation Senior Scientist,127000,USD,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Exec assistant,78000,AUD/NZD,Australia,NA,Byron Bay,8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Government and Public Administration,Planning Tech,48000,USD,USA,Texas,DFW,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Director of Programs,57000,USD,USA,California,Oakland,11 - 20 years,11 - 20 years,College degree,Woman,"Black or African American, White"
35-44,Computing or Tech,Software Architect,240000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Nonprofits,Contracts/Grants Manager,60000,USD,United States,Washington,Seattle,31 - 40 years,21 - 30 years,Master's degree,NA,NA
25-34,Media & Digital,Assistant Producer,50000,USD,US,Colorado,Louisville,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofits,Development Director,60000,USD,United States,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Education (Higher Education),Associate Director,70000,USD,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Retail,Barista,32000,USD,USA,California,Santa Rosa,2 - 4 years,2 - 4 years,Some college,Non-binary,White
45-54,Engineering or Manufacturing,Engineering Information Technologist,60000,CAD,Canada,NA,Halifax,21 - 30 years,31 - 40 years,College degree,Woman,White
25-34,Health care,clinical psychologist,96000,USD,USA,Massachusetts,Boston,5-7 years,2 - 4 years,PhD,Woman,White
18-24,Computing or Tech,Statistical Associate,55900,USD,United States,District of Columbia,Washington,1 year or less,1 year or less,College degree,Woman,Black or African American
45-54,Education (Higher Education),Personnel Coordinator,44000,USD,USA,North Carolina,Eastern,21 - 30 years,8 - 10 years,High School,Woman,White
45-54,Health care,Pharmacist,125000,USD,USA,Tennessee,Knoxville,31 - 40 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,"Accounting, Banking & Finance",Manager,100000,USD,United states,Oregon,Portland,8 - 10 years,5-7 years,College degree,Man,Black or African American
25-34,Biotechnology,Associate Scientist,85000,USD,United States,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Man,Asian or Asian American
35-44,Library,Supervisor,83000,USD,US,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Accounting Manager,66050,USD,United States,Idaho,Boise,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Senior Administrative Assistant,38000,USD,United States,Texas,Plano,21 - 30 years,5-7 years,Some college,Woman,White
45-54,Energy,Sr. Systems Administration Engineer,108000,USD,United States,Texas,Houston,21 - 30 years,21 - 30 years,Some college,Man,White
35-44,Nonprofits,"Director of Governance, Leadership and Human Resources",85000,USD,United States,California,Sacramento,21 - 30 years,2 - 4 years,College degree,Woman,White
25-34,Recruitment or HR,Executive Assistant to the Director,70000,AUD/NZD,Australia,NA,Sydney,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Business or Consulting,Contracts Manager,95000,USD,United States,Massachusetts,"Boston, MA",11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,NA
25-34,Nonprofits,Marketing and development manager,90000,USD,USA,District of Columbia,Washington DC,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Computing or Tech,Senior Technical Writer,77250,CAD,Canada,NA,Calgary,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
45-54,Education (Primary/Secondary),Director,108000,USD,United States,California,Fresno,21 - 30 years,21 - 30 years,PhD,Woman,White
35-44,Market Research,Project Manager,47500,USD,USA,Utah,Lehi,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Senior Software Engineer,205000,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Education (Higher Education),Digital communications specialist,74000,CAD,Canada,NA,Calgary,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Oil and gas,geophysical software support specialist,80000,USD,USA,Texas,Houston,5-7 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Research scientist and program manager,107000,USD,United States,Washington,Seattle,5-7 years,5-7 years,PhD,Woman,White
35-44,Engineering or Manufacturing,Senior civil engineer,95000,USD,United States,Minnesota,Duluth,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Teacher,40000,USD,United States,North Carolina,Greensboro,1 year or less,1 year or less,Master's degree,Man,White
35-44,Horticulture (Admin),Office/Payroll Officer,50600,AUD/NZD,Australia,NA,Mount Gambier,21 - 30 years,21 - 30 years,High School,Woman,White
35-44,"Accounting, Banking & Finance",Senior Finance Analyst,101000,USD,USA,Michigan,Troy,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Government and Public Administration,Informatics Section Manager,107500,USD,USA,Washington,Olympia,8 - 10 years,5-7 years,Master's degree,Man,White
35-44,Nonprofits,Librarian,65000,USD,US,Illinois,Barrington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18-24,Law,Legal Administrator,32640,USD,US,Washington,Vancouver,1 year or less,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Apparel,Technical Designer,60000,USD,United States,Oregon,Portland Metro area,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Social Work,social worker,60000,USD,United States,District of Columbia,DC,5-7 years,2 - 4 years,Master's degree,Woman,White
18-24,Social Work,Case manager,51500,USD,United States,Pennsylvania,Pittsburgh,5-7 years,5-7 years,College degree,Woman,White
45-54,Health care,RN,97500,USD,USA,Texas,Dallas,21 - 30 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,QE Manager,110000,USD,United States,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,ED,72800,CAD,Canada,NA,Kelown,11 - 20 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
25-34,Government and Public Administration,Program Specialist,70000,USD,United States,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Nonprofits,Executive Director,215000,USD,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Digital Marketing Manager,60000,USD,United States,Illinois,Winnetka,5-7 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Compliance associate,75000,USD,USA,Missouri,St. Louis,8 - 10 years,5-7 years,Some college,Woman,White
35-44,Health care,Physician Assistant,140000,USD,USA,Washington,Everett,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Government and Public Administration,Executive Assistant,89000,AUD/NZD,Australia,NA,Melbourne,11 - 20 years,2 - 4 years,High School,Woman,White
45-54,Education (Higher Education),Instructor,65000,USD,USA,California,Redwood City,21 - 30 years,21 - 30 years,PhD,NA,White
45-54,Education (Higher Education),Associate Professor,82000,USD,USA,North Carolina,Chapel Hill,21 - 30 years,11 - 20 years,PhD,Woman,White
18-24,Government and Public Administration,Appraiser III,65000,USD,USA,California,San Bernardino,21 - 30 years,5-7 years,College degree,Woman,White
25-34,Government and Public Administration,IT Manager,95000,USD,United States,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education (Higher Education),Research Fellow,80000,Other,Singapore,NA,Singapore,2 - 4 years,2 - 4 years,PhD,Man,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Software Engineer III,130000,USD,USA,Colorado,Boulder,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing or Tech,Sr Software Engineer,160000,USD,US,Illinois,Chicago,5-7 years,5-7 years,Master's degree,Man,White
45-54,Education (Higher Education),research associate,80000,CAD,Canada,NA,would be identifying sorry,21 - 30 years,11 - 20 years,PhD,Woman,White
25-34,Education (Higher Education),Proposal Development Manager,75000,USD,USA,California,Los Angeles,8 - 10 years,1 year or less,PhD,Woman,White
35-44,Early childhood education,Teacher,42000,USD,US,California,Rancho Santa Margarita,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Computing or Tech,Enablement manager,78000,USD,US,North Carolina,Charlotte,8 - 10 years,2 - 4 years,College degree,Woman,White
18-24,Research,Research technician,30000,USD,United States,North Carolina,Durham,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
25-34,"Accounting, Banking & Finance",Compliance associate,75000,USD,USA,Missouri,St. Louis,8 - 10 years,5-7 years,Some college,Woman,White
55-64,Computing or Tech,Associate Product Manager,80000,USD,US,New York,Huntington,31 - 40 years,31 - 40 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Account Analyst,70800,USD,United States,Ohio,Cincinnati,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Education (Primary/Secondary),"Teacher, Secondary",58000,USD,United States,Connecticut,Denver,8 - 10 years,5-7 years,Master's degree,Non-binary,White
25-34,Health care,Client Account Manager,60000,USD,United States,Wisconsin,Madison,5-7 years,2 - 4 years,Some college,Woman,White
25-34,Education (Higher Education),Senior officer,81000,AUD/NZD,Australia,NA,Melbourne,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Government and Public Administration,Senior Editor,59000,CAD,Canada,NA,N/A,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Computing or Tech,Software Engineer,120000,USD,United States,New York,New York City,5-7 years,1 year or less,High School,Non-binary,White
35-44,Computing or Tech,software developer,44400,EUR,Germany,NA,Herne,8 - 10 years,8 - 10 years,Some college,Woman,White
35-44,Education (Higher Education),"Director, Operations",105000,CAD,Canada,NA,Ontario,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Biotech/pharma,Program Manager,155000,USD,USA,Massachusetts,Cambridge,8 - 10 years,2 - 4 years,PhD,Woman,White
45-54,Government and Public Administration,Information Security Advisor,117800,CAD,Canada,NA,Calgary,31 - 40 years,11 - 20 years,College degree,Man,White
35-44,Media & Digital,Editor,117000,USD,USA,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing or Tech,Lead Security Engineer,175000,USD,U.S.,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Non-binary,Black or African American
25-34,Education (Primary/Secondary),Native English Teacher,27000000,Other,South Korea,NA,Changwon,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Health care,"Director, Clinical Operations",134000,CAD,Canada,NA,"Vancouver, BC",11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
35-44,Property or Construction,Director of Property Management,120000,USD,united states,Massachusetts,boston,11 - 20 years,11 - 20 years,High School,Man,White
35-44,Computing or Tech,Principal Software Engineer,210000,USD,United States,Oregon,Portland,11 - 20 years,11 - 20 years,Some college,Woman,White
45-54,Health care,Administrative assistant,25000,USD,USA,Connecticut,Hartford,11 - 20 years,5-7 years,High School,Woman,White
35-44,Education (Higher Education),Librarian,75000,USD,United States,Utah,Provo,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,NA,VP of Finance & Operations,140000,USD,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Law,Public defender,69000,USD,United States,Utah,Salt Lake City,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,"Energy, Oil & Gas",Director of Contracts & Risk,130000,USD,United States,Texas,Houston,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Health care,Epic Analyst III,105000,USD,USA,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Business or Consulting,Market research manager,93000,USD,United States,Utah,Salt Lake City,5-7 years,5-7 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Shareholder Engagement Specialist,28000,USD,United States,Pennsylvania,"Pittsburgh, PA",5-7 years,1 year or less,Master's degree,Woman,White
18-24,Engineering or Manufacturing,Senior Software Developer,135000,AUD/NZD,Australia,NA,Melbourne,2 - 4 years,2 - 4 years,College degree,Man,White
45-54,Education (Primary/Secondary),Principal,127000,USD,USA,California,Modesto,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Education (Higher Education),Testing Center Coordinator,45000,USD,Usa,Michigan,Bay City,5-7 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Treasury Management Specialist,37700,USD,United States,Massachusetts,Barnstable,5-7 years,1 year or less,Some college,Woman,White
35-44,Nonprofits,Director of Mission Advancement Operations,75000,USD,USA,Texas,Austin,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Computing or Tech,Product Marketing Lead,130000,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing or Tech,Software Team Lead,137000,AUD/NZD,Australia,NA,Adelaide,11 - 20 years,11 - 20 years,Master's degree,Woman,White
18-24,Computing or Tech,Software Engineer I,89000,USD,United States,Colorado,Fort Collins,1 year or less,1 year or less,Master's degree,Man,White
45-54,Health care,Clinical bioethicist,117520,USD,USA,Washington,Vancouver,21 - 30 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Government and Public Administration,Collection Management Librarian,88586,AUD/NZD,Australia,NA,Brisbane,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government and Public Administration,Assistant Director Communication,110000,AUD/NZD,Australia,NA,Canberra,11 - 20 years,8 - 10 years,PhD,Woman,White
25-34,Education (Primary/Secondary),Classroom Teacher/ Grade coordinator,105000,AUD/NZD,Australia,NA,Sydney,8 - 10 years,8 - 10 years,Master's degree,Woman,White
35-44,Transport or Logistics,HR Manager,45600,EUR,France,Alaska,Province,5-7 years,5-7 years,Master's degree,Man,Another option not listed here or prefer not to answer
35-44,Retail,staff manager,78000,USD,usa,Utah,south jordan,21 - 30 years,2 - 4 years,High School,Woman,White
25-34,Nonprofits,Finance Director,83500,USD,United States,Virginia,Alexandria,5-7 years,2 - 4 years,College degree,Man,Asian or Asian American
25-34,Business or Consulting,Project Manager,70000,USD,USA,Connecticut,Middletown,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education (Higher Education),Program Coordinator,64000,CAD,Canada,NA,London,8 - 10 years,5-7 years,Master's degree,Man,Asian or Asian American
25-34,Engineering or Manufacturing,sales and service engineer,77250,AUD/NZD,New zealand,NA,Christchurch,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Nonprofits,Organizing Director,103000,USD,USA,Washington,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education (Higher Education),Director of Admin,110000,USD,United Statea,California,Irvine,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Senior Financial Editor,69000,EUR,The Netherlands,NA,The Hague,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),"Teacher, Secondary",58000,USD,United States,Connecticut,Denver,8 - 10 years,5-7 years,Master's degree,Non-binary,White
35-44,Engineering or Manufacturing,Design Engineer,74000,USD,USA,Utah,Brigham City,8 - 10 years,2 - 4 years,Master's degree,Man,White
25-34,Computing or Tech,Senior Data Scientist,188000,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Business or Consulting,Analyst,6600,USD,India,NA,Bangalore,8 - 10 years,5-7 years,Some college,Woman,Another option not listed here or prefer not to answer
45-54,Law,Assistant city attorney,84400,USD,USA,New Mexico,Albuquerque,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Education (Higher Education),Financial Aid Counselor,56062,USD,United States of America,California,Los Angeles,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,SRE,185000,USD,US,California,San Diego,21 - 30 years,21 - 30 years,Some college,Man,White
55-64,"Accounting, Banking & Finance",Director HR,200000,USD,United States,Washington,Seattle,41 years or more,31 - 40 years,College degree,Woman,White
25-34,Government and Public Administration,Senior GIS Analyst,106000,AUD/NZD,New Zealand,NA,Wellington,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Computing or Tech,Program Lead,104000,USD,US,New York,NYC,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
55-64,Education (Higher Education),Director of Donor Relations,85000,USD,USA,Connecticut,Hartford,31 - 40 years,11 - 20 years,Some college,Woman,White
35-44,Computing or Tech,Network Coordinator,50000,USD,United States,Oregon,Bend,21 - 30 years,1 year or less,Some college,Man,White
55-64,Utilities & Telecommunications,Engineering Manager,195000,USD,USA,Texas,Houston,21 - 30 years,21 - 30 years,College degree,Man,White
45-54,Health care,VP,180000,USD,USA,Minnesota,Twin Cities,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Senior Financial Analyst,77480,USD,US,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Business or Consulting,Executive assistant,44000,USD,USA,Wyoming,Remote,1 year or less,1 year or less,College degree,Woman,White
25-34,Government and Public Administration,Administrative assistant,42600,CAD,Canada,NA,Edmonton,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Social Work,Team Leader,48300,USD,United States,Indiana,Indianapolis,2 - 4 years,2 - 4 years,College degree,Man,White
45-54,Media & Digital,Web developer,120000,USD,US,New York,NYC,21 - 30 years,11 - 20 years,College degree,Man,White
45-54,Insurance,community Outreach Manager,110000,USD,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Some college,Woman,White
55-64,Engineering or Manufacturing,Project Controls Manager,135000,USD,USA,Oregon,Lake Oswego,21 - 30 years,11 - 20 years,College degree,Woman,White
45-54,Computing or Tech,Taxonomist,175000,USD,United States,Washington,Seattle,21 - 30 years,21 - 30 years,Master's degree,Man,White
45-54,Entertainment,Scriptwriter,68000,CAD,Canada,NA,Montreal,21 - 30 years,8 - 10 years,Master's degree,Man,White
25-34,"Marketing, Advertising & PR",Medical writer,55000,USD,United states,California,San Diego,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Education (Primary/Secondary),Senior School Officer,70720,AUD/NZD,Australia,NA,Newcastle NSW,21 - 30 years,11 - 20 years,Some college,Woman,White
25-34,Nonprofits,Zoo keeper,42000,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Content Strategist,65000,CAD,Canada,NA,Vancouver,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Computing or Tech,Microsoft engineer,95500,USD,United States,Indiana,Indianapolis,21 - 30 years,11 - 20 years,College degree,Woman,White
55-64,Computing or Tech,Lead Business analyst,125000,USD,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
55-64,Health care,Occupational Therapist,90000,USD,United States,Texas,Fort Worth,31 - 40 years,21 - 30 years,Master's degree,Woman,White
45-54,Scientific Research,Security Engineer,180000,USD,United States,California,San Mateo,21 - 30 years,21 - 30 years,Master's degree,Man,White
35-44,Education (Higher Education),"Associate Director, University Career Center",70000,USD,USA,Oregon,Prefer not to say,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Computing or Tech,Staff Engineer,170000,USD,United States,California,San Jose,8 - 10 years,8 - 10 years,College degree,Man,Asian or Asian American
25-34,Computing or Tech,Software Engineering Director,230000,USD,US,Texas,Houston,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White"
45-54,"Marketing, Advertising & PR",Director of Research,145000,USD,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
