stockname,timestamp,open,high,low,close,volume
ODD,2024-12-17,NA,NA,NA,NA,NA
ODD,2024-12-18,NA,NA,NA,NA,NA
ODD,2024-12-19,NA,NA,NA,NA,NA
ODD,2024-12-20,NA,NA,NA,NA,NA
ODD,2024-12-23,NA,NA,NA,NA,NA
ODD,2024-12-24,NA,NA,NA,NA,NA
ODD,2024-12-26,NA,NA,NA,NA,NA
ODD,2024-12-27,NA,NA,NA,NA,NA
ODD,2024-12-30,NA,NA,NA,NA,NA
ODD,2024-12-31,NA,NA,NA,NA,NA
OKLO,2024-12-14,18.424919444444445,18.439658333333334,18.417436111111112,18.430227777777777,NA
OKLO,2024-12-16,NA,NA,NA,NA,NA
OKLO,2024-12-17,NA,NA,NA,NA,NA
OKLO,2024-12-18,NA,NA,NA,NA,NA
OKLO,2024-12-19,NA,NA,NA,NA,NA
OKLO,2024-12-20,NA,NA,NA,NA,NA
OKLO,2024-12-23,NA,NA,NA,NA,NA
OKLO,2024-12-24,NA,NA,NA,NA,NA
OKLO,2024-12-26,NA,NA,NA,NA,NA
OKLO,2024-12-27,NA,NA,NA,NA,NA
OKLO,2024-12-28,22.779320481927712,22.787580722891565,22.768527710843372,22.778489156626506,NA
OKLO,2024-12-30,22.997546589344825,23.038953666272217,22.957501269292326,23.000091842593367,NA
OKLO,2024-12-31,22.12009918088482,22.150563700148428,22.08805354346859,22.11979850207495,NA
OMAB,2024-12-16,NA,NA,NA,NA,NA
OMAB,2024-12-17,NA,NA,NA,NA,NA
OMAB,2024-12-18,NA,NA,NA,NA,NA
OMAB,2024-12-19,NA,NA,NA,NA,NA
OMAB,2024-12-20,NA,NA,NA,NA,NA
OMAB,2024-12-21,72.34,72.82,72.09,72.82,NA
OMAB,2024-12-23,NA,NA,NA,NA,NA
OMAB,2024-12-24,NA,NA,NA,NA,NA
OMAB,2024-12-26,NA,NA,NA,NA,NA
OMAB,2024-12-27,NA,NA,NA,NA,NA
OMAB,2024-12-30,NA,NA,NA,NA,NA
OMAB,2024-12-31,NA,NA,NA,NA,NA
OMCL,2024-12-16,NA,NA,NA,NA,NA
OMCL,2024-12-17,NA,NA,NA,NA,NA
OMCL,2024-12-18,NA,NA,NA,NA,NA
OMCL,2024-12-19,NA,NA,NA,NA,NA
OMCL,2024-12-20,NA,NA,NA,NA,NA
OMCL,2024-12-23,NA,NA,NA,NA,NA
OMCL,2024-12-24,NA,NA,NA,NA,NA
OMCL,2024-12-26,NA,NA,NA,NA,NA
OMCL,2024-12-27,NA,NA,NA,NA,NA
OMCL,2024-12-30,NA,NA,NA,NA,NA
OMCL,2024-12-31,NA,NA,NA,NA,NA
OSCR,2024-12-16,NA,NA,NA,NA,NA
OSCR,2024-12-17,NA,NA,NA,NA,NA
OSCR,2024-12-18,NA,NA,NA,NA,NA
OSCR,2024-12-19,NA,NA,NA,NA,NA
OSCR,2024-12-20,NA,NA,NA,NA,NA
OSCR,2024-12-21,14.546266666666666,14.5496,14.546266666666666,14.5496,NA
OSCR,2024-12-23,NA,NA,NA,NA,NA
OSCR,2024-12-24,NA,NA,NA,NA,NA
OSCR,2024-12-26,NA,NA,NA,NA,NA
OSCR,2024-12-27,NA,NA,NA,NA,NA
OSCR,2024-12-28,14.089090909090908,14.089090909090908,14.085454545454546,14.085454545454546,NA
OSCR,2024-12-30,NA,NA,NA,NA,NA
OSCR,2024-12-31,NA,NA,NA,NA,NA
OSIS,2024-12-16,NA,NA,NA,NA,NA
OSIS,2024-12-17,NA,NA,NA,NA,NA
OSIS,2024-12-18,NA,NA,NA,NA,NA
OSIS,2024-12-19,NA,NA,NA,NA,NA
OSIS,2024-12-20,NA,NA,NA,NA,NA
OSIS,2024-12-23,NA,NA,NA,NA,NA
